time_index,mean,std,p05,p25,p50,p75,p95,actual
199,263.69968,0.9618974,262.1449,262.94733,263.7129,264.41022,265.29337,257.11958
200,263.70972,0.96114236,262.15704,262.95694,263.72327,264.41965,265.30182,257.13818
201,263.7216,0.9604028,262.1708,262.96832,263.7356,264.43106,265.31186,257.15678
202,263.7355,0.9596826,262.18637,262.98166,263.75,264.44464,265.3236,257.17539
203,263.75165,0.95900196,262.20383,262.99707,263.7667,264.4606,265.33722,257.19399
204,263.7701,0.9583433,262.22333,263.0147,263.78577,264.47906,265.35284,257.21259
205,263.79114,0.9577216,262.24506,263.03473,263.80743,264.5003,265.37057,257.23119
206,263.81482,0.9571481,262.26907,263.0573,263.83185,264.5246,265.3906,257.2498
207,263.84134,0.956624,262.2965,263.08258,263.8592,264.55188,265.413,257.2684
208,263.87085,0.95616317,262.32895,263.11072,263.8896,264.5824,265.4379,257.287
209,263.90353,0.955782,262.36484,263.1419,263.92322,264.61633,265.46555,257.32904
210,263.93994,0.95541626,262.40485,263.17664,263.96063,264.6541,265.49622,257.41616
211,263.98132,0.9548753,262.4502,263.21613,264.00308,264.69672,265.53082,257.54568
212,264.02954,0.95383984,262.50293,263.26236,264.05243,264.74557,265.57065,257.71493
213,264.08673,0.9519249,262.56546,263.31772,264.11096,264.80237,265.6173,257.92122
214,264.15546,0.9486519,262.64053,263.38504,264.18134,264.86893,265.67264,258.16187
215,264.23825,0.9434938,262.73108,263.4674,264.2663,264.9472,265.7386,258.43421
216,264.33777,0.9358866,262.84015,263.56815,264.36853,265.03897,265.8171,258.73555
217,264.45465,0.92562795,262.96857,263.6883,264.49457,265.15,265.90875,259.06322
218,264.58786,0.9129271,263.1152,263.82568,264.63632,265.2813,266.01273,259.41453
219,264.73633,0.8980225,263.2929,263.97412,264.7876,265.4271,266.1282,259.78681
220,264.8989,0.8811369,263.48682,264.14203,264.94763,265.58093,266.2544,260.17738
221,265.07452,0.8625239,263.69635,264.33963,265.1269,265.723,266.3905,260.58355
222,265.26212,0.8424293,263.9323,264.5507,265.32,265.87415,266.53568,261.00265
223,265.46054,0.8211116,264.18497,264.77075,265.5191,266.0424,266.68912,261.43199
224,265.6687,0.79885674,264.42307,264.99994,265.7229,266.22064,266.84998,261.8689
225,265.8855,0.775925,264.67145,265.23428,265.95123,266.41772,267.0175,262.3107
226,266.1098,0.7526094,264.9261,265.47073,266.17804,266.6286,267.19446,262.75471
227,266.34048,0.7291942,265.186,265.71042,266.40555,266.85086,267.39532,263.19824
228,266.57642,0.7059663,265.45197,265.9558,266.6382,267.07764,267.60104,263.63863
229,266.8165,0.68322057,265.7226,266.20566,266.88727,267.2931,267.81058,264.07318
