Date,Mean_Prediction,Std_Prediction,Min_Prediction,Max_Prediction,Q25_Prediction,Q75_Prediction
2019-10-15,956.3772290039062,3.980454415717666,944.4952392578125,963.7127075195312,954.1481781005859,958.8954162597656
2019-10-16,956.4626330566406,3.9835092618601897,944.5702514648438,963.8034057617188,954.2371520996094,958.9807434082031
2019-10-17,956.5483239746094,3.986599274651236,944.6454467773438,963.8944091796875,954.3263397216797,959.0663299560547
2019-10-18,956.6343518066407,3.989680032906469,944.7211303710938,963.9857788085938,954.4159393310547,959.1523590087891
2019-10-19,956.7207092285156,3.992800330154222,944.7969970703125,964.077392578125,954.5059204101562,959.2386627197266
2019-10-20,956.8073986816406,3.995924187783404,944.8732299804688,964.1693115234375,954.5961456298828,959.3252563476562
2019-10-21,956.894423828125,3.9990577416163595,944.9498901367188,964.2615356445312,954.6867828369141,959.4122924804688
2019-10-22,956.9817944335938,4.002219280581351,945.0267944335938,964.3540649414062,954.7777862548828,959.4997863769531
2019-10-23,957.0695092773437,4.005410860132049,945.1039428710938,964.4469604492188,954.8690338134766,959.5875091552734
2019-10-24,957.1576049804687,4.008606455935505,945.1815795898438,964.5402221679688,954.9607543945312,959.6756591796875
2019-10-25,957.246044921875,4.011830848990324,945.2595825195312,964.6338500976562,955.0528869628906,959.7642364501953
2019-10-26,957.3348669433594,4.015059134098038,945.337890625,964.7277221679688,955.1453247070312,959.8531494140625
2019-10-27,957.4240625,4.018304679547511,945.4166259765625,964.822021484375,955.2381896972656,959.9425048828125
2019-10-28,957.5136401367188,4.021583548480908,945.4956665039062,964.9166259765625,955.3314361572266,960.0322418212891
2019-10-29,957.6035949707032,4.024856477157943,945.5751342773438,965.0115356445312,955.4250793457031,960.1223754882812
2019-10-30,957.6939514160156,4.028170088689952,945.6549072265625,965.10693359375,955.5191955566406,960.2129669189453
2019-10-31,957.7847094726562,4.031500528565546,945.735107421875,965.20263671875,955.6136627197266,960.3039245605469
2019-11-01,957.8758776855469,4.0348419466491645,945.8157958984375,965.2987670898438,955.7085723876953,960.3953704833984
2019-11-02,957.9674609375,4.0381878426681945,945.8968505859375,965.3952026367188,955.8038787841797,960.4872283935547
2019-11-03,958.0594482421875,4.04158305235674,945.978271484375,965.4921264648438,955.8996276855469,960.5795440673828
